,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
829,0.628,0.42,9,-10.547,1,0.177,0.395,2.55e-06,0.104,0.337,165.304,audio_features,2HEgBBls7l0smWTxPx0MtZ,spotify:track:2HEgBBls7l0smWTxPx0MtZ,https://api.spotify.com/v1/tracks/2HEgBBls7l0smWTxPx0MtZ,https://api.spotify.com/v1/audio-analysis/2HEgBBls7l0smWTxPx0MtZ,166133,4
830,0.257,0.338,4,-12.902,1,0.0357,0.736,0.0,0.252,0.544,207.356,audio_features,4feXcsElKIVsGwkbnTHAfV,spotify:track:4feXcsElKIVsGwkbnTHAfV,https://api.spotify.com/v1/tracks/4feXcsElKIVsGwkbnTHAfV,https://api.spotify.com/v1/audio-analysis/4feXcsElKIVsGwkbnTHAfV,162493,4
831,0.331,0.55,0,-6.483,1,0.0272,0.605,3.96e-06,0.192,0.429,177.734,audio_features,70C4NyhjD5OZUMzvWZ3njJ,spotify:track:70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/tracks/70C4NyhjD5OZUMzvWZ3njJ,https://api.spotify.com/v1/audio-analysis/70C4NyhjD5OZUMzvWZ3njJ,339000,3
832,0.279,0.75,4,-6.41,0,0.112,0.000188,0.0,0.78,0.317,189.806,audio_features,6gp3RHhdZlrPGaf5qcgFSg,spotify:track:6gp3RHhdZlrPGaf5qcgFSg,https://api.spotify.com/v1/tracks/6gp3RHhdZlrPGaf5qcgFSg,https://api.spotify.com/v1/audio-analysis/6gp3RHhdZlrPGaf5qcgFSg,229133,4
833,0.724,0.436,0,-9.321,1,0.0282,0.576,1.19e-06,0.0908,0.324,130.439,audio_features,1Jj6MF0xDOMA3Ut2Z368Bx,spotify:track:1Jj6MF0xDOMA3Ut2Z368Bx,https://api.spotify.com/v1/tracks/1Jj6MF0xDOMA3Ut2Z368Bx,https://api.spotify.com/v1/audio-analysis/1Jj6MF0xDOMA3Ut2Z368Bx,243067,4
834,0.548,0.735,11,-7.572,1,0.236,0.173,0.0,0.195,0.498,101.252,audio_features,7LpMG3AEaIJgs62HQhAa91,spotify:track:7LpMG3AEaIJgs62HQhAa91,https://api.spotify.com/v1/tracks/7LpMG3AEaIJgs62HQhAa91,https://api.spotify.com/v1/audio-analysis/7LpMG3AEaIJgs62HQhAa91,162587,4
835,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,audio_features,6z5Yh7kOKeLjqIsNdokIpU,spotify:track:6z5Yh7kOKeLjqIsNdokIpU,https://api.spotify.com/v1/tracks/6z5Yh7kOKeLjqIsNdokIpU,https://api.spotify.com/v1/audio-analysis/6z5Yh7kOKeLjqIsNdokIpU,285120,3
836,0.675,0.278,6,-13.393,0,0.196,0.743,0.0,0.109,0.157,92.013,audio_features,4Y3gpyTOhEksZ0eiemCUQC,spotify:track:4Y3gpyTOhEksZ0eiemCUQC,https://api.spotify.com/v1/tracks/4Y3gpyTOhEksZ0eiemCUQC,https://api.spotify.com/v1/audio-analysis/4Y3gpyTOhEksZ0eiemCUQC,226558,4
837,0.788,0.753,0,-3.727,1,0.0551,0.00399,0.0,0.184,0.417,125.012,audio_features,5uOUxoxEMZQo0cFT9YWFdi,spotify:track:5uOUxoxEMZQo0cFT9YWFdi,https://api.spotify.com/v1/tracks/5uOUxoxEMZQo0cFT9YWFdi,https://api.spotify.com/v1/audio-analysis/5uOUxoxEMZQo0cFT9YWFdi,234653,4
838,0.899,0.626,6,-4.228,0,0.292,0.076,0.0,0.0631,0.873,88.007,audio_features,7gcMKL3lnDxsp4bIXyv6Zk,spotify:track:7gcMKL3lnDxsp4bIXyv6Zk,https://api.spotify.com/v1/tracks/7gcMKL3lnDxsp4bIXyv6Zk,https://api.spotify.com/v1/audio-analysis/7gcMKL3lnDxsp4bIXyv6Zk,234320,4
